"","Title","Date Published","Citation","Authors","Contact","purpose of study","cost data description","how costs were measured","Data Source","Conservation Action Category","Conservation Action Category (Additional)...11","Conservation Action Category (Additional)...12","time frame of cost data","spatial extent of study","cost predictors","management cost estimate","Date of cost calculation","Currency","Units of area","Land purchase costs","time since implementation","includes capital costs","includes consumables costs","includes labor costs","overhead included","predicts costs across categories","inflation correction","Notes"
"11","Financial Costs and Shortfalls of Managing and Expanding Protected-Area Systems in Developing Countries",2004,"Bruner, et al 2004","Aaron G. Bruner, Raymond E. Gullison , Andrew Balmford","abruner@conservation.org","estimate costs of managing all the preserves in developing countries","parameterized a predictive model using data from Balmford et al 2003 + a new dataset from work presented at the WPC and from Culverwell 1997, Frazee 2003, and Molina 2003)","not specified","Modeled","Land / Water Management","Conservation Designation & Planning",NA,"not specified","191 Pas in the developing world (from WDPA)","size, GDP, human density index(HDI ), PPP, multiple use, % within 10 km of a road","$1.1 - 2.5 billion/year for all sites","N/A","US$","ha","N","N","N","N","N","N","N","Y",NA
"12","The cost of quinine Cinchona pubescens control on Santa Cruz Island, Galapagos",2005,"Buddenhagen & Yanez, 2005","Chris E Buddenhagen, Patricio Yánez",NA,"Financial cost of controlling and removing an invasive tree in the Galapagos","man-hours per ha, cost of labor and herbicide.","Costs are estimated and restricted to the control sites.","Modeled","Species Management",NA,NA,"N/A","Santa Cruz Island, Galapagos",NA,NA,NA,"USD $","ha","N","N/A","N","Y","Y","N","N/A","N/A",NA
"13","The Successful eradication of two blackberry species Rubus megalococcus and R. adenotrichos (Rosaceae) from Santa Cruz Island, Galapagos, Ecuador",2006,"Buddenhagen, 2006","Chris E Buddenhagen",NA,"Eradication measures of two invasive blackberry bushes from Santa Cruz Island, Galapagos, Ecuador","Costs were estimated per annum for activities","Estimated labor from work carried out by Charles Darwin Research Station staff.  $30 per litre of herbicide.","Modeled","Species Management",NA,NA,NA,"Santa Cruz Island, Galapagos, Ecuador",NA,NA,NA,"USD$","ha","N","N/A","Y","Y","Y","Y","N/A","N/A",NA
"14","The financial needs vs. the realities of in situ conservation: an analysis of federal
funding for protected areas in Brazil’s Caatinga",2017,"Carneiro de Oliveira &  Bernard, 2017","Ana Paula Carneiro de Oliveira, Enrico Bernard",NA,"(1) present data on funding given by the Brazilian government for the management of 20 federal PAs in the Caatinga during seven years; (2)
identify the PAs that received the most resources; (3) report in detail how those resources were spent; and (4) assess the total spent in relation to the areas protected.","Analyzed the Brazilian Government’s budget allocated to 20 federal PAs in the Caatinga. Classified expenses in two groups: ‘Capital Assets’ for the expenses converted into assets of the organ or entity that generated those expenses (e.g., goods, equipment, or vehicles); and ‘Costs’ for the set of expenses related to the maintenance of basic items (e.g., property security costs, telecommunication costs, and costs related to the maintenance of goods and vehicles)","Organized the cost of each item in decreasing order and
calculated their percentages in the total budget for all PAs in that
period. We identified the item ‘Lands’ on only two occasions, i.e.,
funds allocated to pay private owners for their lands to be added
to the PA. To obtain the value spent per hectare per year in the
20 PAs, we divided the total budget by the sum of the total area
(2,356,490.63 ha) and by 7 years (2008–2014). We made this calculation for ‘Costs’ and ‘Capital Assets’ individually, in two scenarios, including and excluding the costs of land acquisition
(‘Lands’), as this latter used a substantial amount of the funds","Accounts Based","Land / Water Management",NA,NA,"2008-2014","Caatinga drylands of Brazil",NA,NA,"2015","USD$","ha","Y",NA,"Y","Y","N","N",NA,"Y",NA
"15","Archipelago-Wide Island Restoration in the Galápagos Islands: Reducing Costs of Invasive Mammal Eradication Programs and Reinvasion Risk",2011,"Carrion, et al. 2011","Victor Carrion, C. Josh Donlan, Karl J. Campbell, Christian Lavoie, Felipe Cruz","jdonlan@advancedconservation.org","Weighing the investment of invasive species (goats) against the risk of reintroduction.","helicopters, hunters, hunting dogs, and Judas goats.  Incorporating salary, administration (institutional overhead), management, and logical cost.",NA,"Accounts Based","Species Management","Conservation Designation & Planning",NA,NA,"Galapagos",NA,NA,"2009","USD$","ha","N/A","N/A","N/A","Y","Y","Y","N/A","Y",NA
"16","Prioritizing threat management for biodiversity conservation",2012,"Carwardine, et al 2012","Josie Carwardine,Trudy O’Connor, Sarah Legge, Brendan Mackey, Hugh P. Possingham, Tara G. Martin","Josie.Carwardine@csiro.au","cost-effectiveness ranking of management activities to prevent species extinctions","estimates of costs for management actions over 20 years, that would allow for persistence for individual threatened species","expert elicitation","Elicited","Species Management","Conservation Designation & Planning",NA,"20 year estimate","Kimberley region, AU","N/A","estimated costs were per action which were then ranked by their cost effectiveness.","N/A","AUD$","N/A","N","N/A","N","N","N","N","N","N",NA
"17","Over $1 billiion per year is needed to recover ESA-listed species",NA,"Center for Conservation Innovation","Leah Gerber",NA,"Updated estimate of recovery intervention cost data for ESA-listed species.","2013-2014 recovery report to Congress","Estimated costs","Modeled","Species Management",NA,NA,NA,"United States",NA,NA,NA,"USD$",NA,"N","N/A","N","N","N","N","N","N",NA
"18","Cost Savings from Properly Managing Endangered Species Habitats",2001,"Chen, 2001","Linus Y. Chen","Linus_Chen@fws.gov","Examining the change over time in management costs and several factors that affect costs and the continured survival of endangered species.","Collected financial data from 130 wildlife managers, refuge managers, and scientists involved in federally listed species recovery.",NA,"Elicited","Species Management",NA,NA,NA,"United States",NA,NA,NA,"USD $","acre","N","N/A","N","N","N","N","N/A","N/A",NA
"19","Measuring the success and cost effectiveness of New Zealand multiple-species projects to the conservation of threatened species",2005,"Cullen, et al 2005","Ross Cullen, Emma Moran, Kenneth F.D. Hughey","cullenr@lincoln.ac.nz","examining success and cost-effectiveness of multiple species projects vs single species projects","estimates of annual costs with and without project","structured interviews with managers","Modeled","Species Management","Conservation Designation & Planning",NA,"7-14 year estimate","New Zealand","N/A","costs are presented as total amount needed to enact recovery per species/system","N/A","NZ$","ha","N","N/A","N","N","N","N","N","N",NA
"20","Public spending in federal protected areas in Brazil",2019,"da Silva, et al. 2019","José Maria Cardoso da Silva, Teresa Cristina Albuquerque de Castro Dias, Alan Cavalcanti da Cunha, Helenilza Ferreira Albuquerque Cunha","jcsilva@miami.edu","Assessing how the Brazilian government allocates funding to 289 federally protected areas (PAs) and how contextual factors play a roll.","Average of US$75 million a year was spent on the management of 8.7% of Brazil's PAs between 2013-2016.","Measuring costs per km2 in PAs.","Accounts Based","Land / Water Management",NA,NA,"2013-2016","Brazil",NA,NA,"N/A","USD $","km2","N","N","N","N","Y","N","N","Y",NA
"21","A comparison of cost and quality of three methods for estimating density for wild pigs (Sus scrofa)",2020,"Davis et al. 2020","Amy Davis, David Keiter, Elizabeth Kierepka, Chris Slootmaker, Antoinette Piaggio, James Beasley, Kim Pepin",NA,"Comparing the cost-effectiveness of three common population estimation methods in South Carolina.","Direct costs from performing the interventions","Direct costs","Modeled","Species Management","Research & Monitoring",NA,"3 months","South Carolina",NA,"N/A","2015","USD$","km","N","N/A","Y","Y","Y","N","N/A","N",NA
"22","An economic assessment of the contribution of biological control to the management of invasive alien plants and to the protection of ecosystem services in South Africa",2010,"de Lange & van Wilgen, 2010","Willem J. de Lange, Brian W. van Wilgen","Centre for Invasion Biology, CSIR Natural Resources and the Environment, PO Box 320, Stellenbosch, 7599, South Africa","Comprehensive study to assess the costs and benefits of South Africa's weed biological research effort.  Focus was on the delivery of ecosystem services from habitats that are invaded by groups of weeds, rather than a single species.","Interviewed researchers at all major institutes in the region. Establish the time period, number of researchers, and project running costs and salaries
associated with each biological control agent","Estimated a benefit:cost ratio","Mix","Species Management","Research & Monitoring",NA,NA,"South Africa",NA,NA,"2008","ZAR","ha","N","N/A","N/A","Y","Y","N/A","N/A","Y",NA
"23","FINANCIAL STRUCTURING OF PROTECTED AREAS ACCORDING TO THE CONSERVATION MEASURES PARTNERSHIP CLASSIFICATION SYSTEM OF ACTIONS",2020,"Diaz Campos and Vilés-Lopez, 2020","Camilo Andres Diaz-Campos, Karina Vilés-Lopez","vileskarina@gmail.com","Standardisation of cost categories according to the CMP classification of actions would support comparative investigations in financial sustainability and allow analyses of the financial needs of protected areas worldwide","Integrated Financial Information System budgetary implementation reports
from March 2017; financial information of the International Affairs and Cooperation Office of PNN from 2012 through 2016; Analysis of the Effectiveness of the Management of Protected Areas with Social Participation (AEMAPPS) reports for 2012, 2013, 2014 and 2016 from the Departments of Human Resource Management and Resource Management; and protected area management plans or the legal declaration of the protected area for those that did not have an adopted management plan",NA,"Accounts Based","Land / Water Management","Conservation Designation & Planning",NA,"2012-2017","Colombia",NA,NA,"2019","USD$","Both km^2 and ha","N","N/A","Y","Y","Y","Y","N/A","Y",NA
"24","Does proactive biodiversity conservation save costs?",2011,"Drechsler, et al. 2011","Martin Drechsler, Florian V. Eppink, Frank Wätzold",NA,"cost savings from proactive conservation actions as opposed to delaying until species are considered endangered and requiring immediate action.","Management and monitoring cost","comparing estimates of proactive vs delayed conservation approaches.","Modeled","Species Management",NA,NA,"10 year period ending in 2010","Mannheim, Germany",NA,NA,NA,"€","ha","N","Y","N","N","Y","N","N/A","N/A",NA
"25","Locating Human Resources to Reduce the Cost of Managing Networks of Protected Areas",NA,"Dumolin et al","Christine E. Dumoulin, Tyler Macmillan, Rob Stoneman, Paul R. Armsworth","cdumoulin@vols.utk.edu","Estimate cost of travel between protected areas","staff time from Armsworth 2011 and estimated staffing costs from annual expenditure spreadsheets provided by the WMD","actual expenditures","Accounts Based","Conservation Designation & Planning","Land / Water Management",NA,"2008-2012 (NWF), 2004-2008 (YWT)","Panhandle Florida and Yorkshire",NA,NA,"2008","US $","n/a","Y","N","Y","Y","Y","N","N","Y",NA
"26","Cost effectiveness of endangered species management: the kokako (Callaeas cinerea) in New Zealand",2004,"Fairburn, et al. 2004","Geoff A, Fairburn, Kenneth F.D. Hughey, Ross Cullen",NA,"Implementing a cost effectiveness analysis to evaluate conservation efforts of the kakako recovery program.",NA,"Cost Effectiveness Analysis (CEA)  find the least cost means to meet a conservation objective.","Modeled","Species Management","Conservation Designation & Planning",NA,"20 year goal","New Zealand",NA,NA,NA,"NZD","ha","N","N/A","N","N","Y","N","N/A","N/A",NA
"27","Estimating the costs of conserving a biodiversity hotspot: a case-study of the Cape Floristic Region, South Africa",2003,"Frazee, et al 2003","S.R. Frazee, R.M. Cowling, R.L. Pressey, J.K. Turpie, N. Lindenbergd","sfrazee@conservation.org","estimate the costs of conserving a biodiversity hotspot by developing a predictive model of management costs from site attributes","ideal staffing and operating costs for effective managemnt","surveyed staff of six national parks and 56 protected areas","Elicited","Species Management","Land / Water Management",NA,"1 yr","Cape Floristic Region","area, coastal, low land, wet mountain fynbos, dry mountain fynbos","$71/HA","N/A","US$","ha","Y","N/A","Y","N","N","Y","N","N",NA
"28","Prioritizing conservation actions for Pacific salmon in Canada",2020,"Frid, et al. 2020","Jessica C. Walsh, Katring Connors, Eric Hertz, Laura Kehoe, Tara G. Martin, Brendan Connors, Michael J. Bradford, Cameron Freshwater, Alejandro Frid, Jessica Halverson, Jonathan W. Moore, Michael H. H. Price, John D. Reynolds","jessica.walsh@monash.edu","Using a Priority Threat Management (PTM) framework to evaluate the cost-effectiveness of strategies that mitigate threats to biodiversity, and identify which strategies would achieve the greatest conservation outcomes for recovery of Pacific salmon","Estimates from expert elicitation","Cost effectiveness calculator and used a complementarity analysis.","Elicited","Species Management","Conservation Designation & Planning",NA,"20 year period analysis","Central Coast of B.C.",NA,NA,"2018","CAD","km^2","N","N/A","Y","Y","Y","Y","Y","N/A",NA
"29","Eradications and People: Lessons from the Plant Eradication Program in Galapagos",2010,"Gardener, et al. 2010","Mark R. Gardener, Rachel Atkinson, Jorge Luis Renteŕıa","mark.gardener@fcdarwin.org.ec","A lesson from mistakes made regarding plant eradication in the Galapagos.  Questioning whether the eradication of potentially invasive plant species with limited distributions is a long-term cost-effective solution or a useful outcome for whole ecosystem restoration in Galapagos","Manual labor and herbicide","Estimated costs from eradication projects","Modeled","Species Management","Conservation Designation & Planning",NA,NA,"Galapagos",NA,NA,"2008","USD$","ha","N","N/A","N","N/A","Y","N","N/A","Y",NA
"30","The Costs and Effectiveness of Funding the Conservation of Australian Threatened Birds",2003,"Garnett, et al. 2003","Stephen Garnett, Gabriel Crowley, Andrew Balmford",NA,"Funding review of threatened birds in Australia or an examination of the economic and biological performance of threatened bird recovery programs.","Information obtained from a past assessment as well as personal communication with project officers and managers.","Gross figures covered salaries of ded-
icated project officers, project running costs (e.g., travel,
accommodation, minor contracts, consumables) and capital
items (mostly vehicles)","Mix","Species Management","Conservation Designation & Planning",NA,"1993-2000","Australia",NA,NA,"n/a","AU$","km2","N","N/A","Y","Y","Y","N/A","N/A","N/A",NA
"31","Estimating management costs of protected areas: A novel approach from the Eastern Arc Mountains, Tanzania",2012,"Green, et al 2012","Jonathan M.H.Green, Neil D. Burgess, Rhys E. Green, Seif S. Madoffe, Pantaleo K.T. Munishi Evarist Nashanda, R. Kerry Turner, Andrew Balmford","jmhg2@cam.ac.uk","predict costs of management a network of reserves","actual and necessary spend on recurrent and capital expenditures","reciepts of expenditures over one year coupled with land manager interviews asking about ideal funding levels","Mix","Land / Water Management",NA,NA,"1 yr","Eastern Arc Mountains, Tanzania","reserve type, number of Pas in group, HA, Terrain ruggedness, human use, median population within PA, population density, population pressure","actual median =$2.3/HA/yr necessary median  = $8.3/HA/yr","N/A","US$","ha","N","N/A","N","N","N","N","N","Y",NA
"32","Predicting reintroduction costs for wildlife populations under anthropogenic stress",2019,"Hilbers, et al. 2019","Jelle P. Hilbers, Mark A. J. Huijbregts, Aafke M. Schipper","j.hilbers@science.ru.nl","Quantifying the costs of reintroduction via captive breeding and release (reintroduction) as a function of exposure to an anthropogenic stressor and the size of the wildlife population to be maintained.","Modelled the reintroduction costs of captive reared juveniles needed per year to sustain a population over time.","Estimated reintroduction costs","Accounts Based","Species Management","Research & Monitoring",NA,NA,"California",NA,NA,NA,"USD $","N/A","N","N","N/A","N","N","N","N","Y",NA
"33","Evaluating cost-effectiveness of conservation management actions in an agricultural landscape on a regional scale",2007,"Holzkämper & Seppelt, 2007","Annelie Holzkämper, Ralf Seppelt","annelie.holzkaemper@ufz.de","Introduce a simplified approach for cost-effective analyses of management actions that enhance the ecological value in a real landscape (agricultural) on a large spactial scale.",NA,"applied a spatially explicit optimisation model to identify land-use patterns that represent optimum trade-offs between ecological improvements and economic requirements","Modeled","Conservation Designation & Planning",NA,NA,NA,"Leipzig, Germany",NA,NA,NA,"Euro","ha","N","N","N","N","N","N","N",NA,NA
"34","Predicting the invadedness of protected areas",2014,"Iacona, et al. 2014","Gwenllian D. Iacona, Franklin D. Price, Paul R. Armsworth","giacona@utk.edu","Estimate the cost of invasive plant management on protected areas in Florida","Project cost data for state funded treatment projects (state funding + agency funding )","actual expenditures","Accounts Based","Species Management",NA,NA,"1999-2010","Florida",NA,NA,"2009","US $","ha","N","N","N/A","N/A","N/A","N/A","N","Y",NA
"35","A Global Review of Protected Area Budgets and Staff",1999,"James, et al 1999","Alexander N. James, Michael J.B. Green, James R. Paine","Department of Land Economy, University of Cambridge, 19 Silver Street, Cambridge, CB3 9EP , UK","budgets and shortfalls for management funding on protected areas worldwide","List of dollars/km^2 , staffing stats, and shortfalls for countries worldwide","report is a summary of data from questionnaires of 244 PA agencies administered by WCMC as well as published and grey literature data also held by WCMC","Mix","Land / Water Management","Conservation Designation & Planning",NA,"single year per country, but different countries were surveyed different years","Worldwide","N/A","varies widely by region but global mean of $893/km","1996","US$","km^2","N","N/A","Y","N","N","N","N","N",NA
"36","Cost‐effectiveness analysis of sandhill crane habitat management",2013,"Kessler, et al. 2013","Andrew C. Kessler, James W. Merchant, Steven D. Shultz, Craig R. Allen","kessl127@umn.edu","Main objective was implementing cost-effectivness analysis within a geographic information system framework to assess alternatives for invasive vegetation management in an effort to enhance the wildlife habitat and maximize potential cost savings. Examining sandhill cranes in Nebraska.","Only cost considered in the research was the removal of vegetation. Costs were calculated with a Cost-Effectivness Analysis (CEA)","Based research primarily on a 2005 land cover dataset developed by the Great Plains GIS partnership. Costs were calculated with a Cost-Effectivness Analysis (CEA)","Accounts Based","Species Management","Land / Water Management",NA,NA,"Platte River in Nebraska",NA,NA,"2009","USD $","(dollars per) Ha","N","N","N","N","N","N","N","N/A",NA
"37","Planning for climate change through additions to national protected area network: implications for cost and configuration",2020,"Lawler et al. 2020","Joshua Lawler, D. Scott Rinnan, Julia Michalak, John Withey, Christopher Randels, Hugh P. Possingham","jlawler@uw.edu","Explores the effects of addressing climate change on both the configuration and the cost of a national protected area network by three different approaches.","Used a the layer of county-specific land prices for crops, pasture, forest, and range described in Whithey et al.","Calculated a weighted average cost, based on the current land cover within counties overlapped by the planning unit.  Land price estimates incorporated the present value of future returns owing to development.  Network costs were estimated assuming 1000 ha of land be protected at each selected site.","Mix","Land / Water Management","Legal & Policy Frameworks",NA,"Future projections","US",NA,"N/A","N/A","USD$","km and ha","Y","N","Y","N","N","N","N","N",NA
"38","Evaluating the cost-effectiveness of conservation: The UK Biodiversity Action Plan",2009,"Laycock, et al 2009","Helen Laycock, Dominic Moran, James Smart, David Raffaelli, Piran White","hlaycock@lancswt.org.uk","measure effectiveness and efficiency of spending by species management plans under BAP","total and annual program costs (not sure if it is management only or also includes acquisition, impelementation and administration)","manager questionaires for 44 SAPs","Elicited","Species Management",NA,NA,"up to 10 years","Britain","N/A","500 GBP - 7,000,000 GBP total for a species","1999?","Euro","N/A","Y","N/A","Y","N","N","N","N","N",NA
"39","Combing benefits and costs to prioritize the distribution of conservation resources: Evidence from Israel",2020,"Lehrer et al, 2020","David Lehrer, Nir Becker, Pua Bar",NA,"Looking at how to best utilize rangers and optimally distribute rangers across protected areas while allocating funds","First analyzed the Israel Nature and Parks Authority (INPA) operations and development budgets (in ILS) for the four national districts.  Also implemented a survey of 30 conservation managers of the INPA including different levels of management.","ROI index (primarily) as well as a few other prioritization tools","Mix","Land / Water Management",NA,NA,NA,"Israel",NA,NA,"2013","INS","km","N","N/A","Y","Y","Y","Y","N","N",NA
"40","Cost-effective protection of biodiversity in the western Amazon",2019,"Lessman et al, 2019","Janeth Lessmann, Javier Fajardo, Elisa Bonaccorso, Aaron Bruner",NA,"This study addresses two fundamental questions for conservation planning in the western Amazon: (1) what is the most cost-effective way to expand the region's protected-area system? and, (2) how much resources would that expansion save?","Costs were estimated using regional models","Costs were estimated using regional models.  Evaluated and mapped two types of costs associated with land conservation: (1) costs of effectively managing land as a protected area, and (2) opportunity costs from foregone agriculture and livestock when setting a piece of land for conservation.","Modeled","Land / Water Management",NA,NA,NA,"western Amazon",NA,NA,NA,"USD $","km^2","N","N/A","N","N","N","N","N","Y",NA
"41","A framework for systematic conservation planning and management of Mediterranean landscapes",2013,"Levin, et al. 2013","Noam Levin, James E.M.Watson, Liana N. Joseph, Hedley S.Grantham, Liat Hadar, Naomi Apel, Avi Perevolotsky, Niv DeMalach, Hugh P.Possingham, Salit Kark","noamlevin@mscc.huji.ac.il","Approach for systematic conservation planning incorporating dynamic ecological processes, biodiversity targets, and management costs.",NA,"Estimated for management actions","Modeled","Conservation Designation & Planning",NA,NA,NA,"Ramat Hanadiv, NW Israel",NA,NA,NA,"New Israel Shekel","ha","N","N/A","N","N","N","N","N","N/A",NA
"42","Dawn of Drone Ecology: Low-Cost Autonomous Aerial Vehicles for Conservation",2012,"Lian and Wich, 2012","Lian Pin Koh, Serge A. Wich","Department of Biological Sciences, National University of Singapore, 14 Science Drive 4, Singapore 117543","The advancement of technology and its potential for conservation and environmental applications","Drone technology",NA,"Accounts Based","Species Management","Miscellaneous",NA,"N/A","Indonesia",NA,NA,"N/A","USD$","ha","N","N","Y","N","N","N","N","N",NA
"43","Evaluating Costs of Conservation",1999,"Main, et al. 1999","Martin B. Main, Fritz M. Roka, Reed F. Noss",NA,"Comparing resource conservation agreements (RCAs) with private land owners to maintain habitats for the Florida panther vs cost of the acquisition and management of public lands","Land and operating costs","Analysis of costs based primarily off of land values. Comparison of RCAs vs public ownership","Mix","Land / Water Management",NA,NA,NA,"South Florida",NA,NA,NA,"USD$","ha","Y","N/A","Y","N/A","Y","N/A","N/A","N/A",NA
